real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
0,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
1,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
2,2.14374,2.73462,3.91291,4.02956,3.69869,3.50133,5.8533,2.4108,4.94174,3.60415,5.5854,6.0796,6.128,3.08609,5.83563,4.97492,6.13387,3.50174,7.24921,4.55669,7.52154,6.48368,6.40586,8.76459
3,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
4,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
5,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
6,2.16271,2.75882,3.94754,4.06522,3.73142,3.53231,5.90511,2.43214,4.98547,3.63605,5.63483,6.13341,6.18223,3.1134,5.88727,5.01895,6.18816,3.53273,7.31336,4.59701,7.5881,6.54106,6.46255,8.84215
7,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
8,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
9,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
10,2.15649,2.75089,3.93618,4.05353,3.72069,3.52216,5.88812,2.42515,4.97113,3.6256,5.61862,6.11577,6.16445,3.10444,5.87034,5.00451,6.17036,3.52257,7.29233,4.58379,7.56628,6.52224,6.44397,8.81672
11,2.23226,2.84754,4.07448,4.19595,3.85142,3.64591,6.095,2.51035,5.14579,3.75298,5.81604,6.33065,6.38104,3.21352,6.0766,5.18035,6.38715,3.64634,7.54854,4.74484,7.83212,6.75141,6.67037,9.1265
12,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
13,2.21251,2.82234,4.03843,4.15882,3.81733,3.61364,6.04107,2.48814,5.10026,3.71977,5.76457,6.27462,6.32457,3.18508,6.02282,5.1345,6.33063,3.61407,7.48175,4.70285,7.76281,6.69166,6.61135,9.04574
14,2.14033,2.73027,3.90669,4.02316,3.69281,3.49576,5.844,2.40697,4.93388,3.59843,5.57652,6.06994,6.11826,3.08118,5.82635,4.96701,6.12412,3.49618,7.23768,4.54944,7.50958,6.47337,6.39568,8.75066
15,2.25991,2.8828,4.12494,4.24791,3.89911,3.69106,6.17048,2.54144,5.20952,3.79946,5.88806,6.40904,6.46007,3.25332,6.15185,5.2445,6.46625,3.69149,7.64203,4.8036,7.92912,6.83501,6.75298,9.23953
16,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
17,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
18,2.0337,2.59426,3.71206,3.82273,3.50884,3.32161,5.55286,2.28706,4.68808,3.41916,5.29871,5.76754,5.81346,2.92768,5.53609,4.71956,5.81902,3.322,6.87711,4.3228,7.13547,6.15088,6.07705,8.31471
19,2.14561,2.737,3.91632,4.03307,3.70191,3.50438,5.8584,2.41291,4.94604,3.6073,5.59026,6.0849,6.13334,3.08878,5.84071,4.97925,6.13921,3.50479,7.25552,4.56066,7.52809,6.48933,6.41144,8.77223
20,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
21,2.03663,2.59798,3.7174,3.82822,3.51388,3.32638,5.56084,2.29035,4.69482,3.42407,5.30632,5.77583,5.82181,2.93189,5.54404,4.72634,5.82739,3.32677,6.88699,4.32901,7.14572,6.15972,6.08579,8.32666
22,2.18491,2.78714,3.98806,4.10695,3.76972,3.56857,5.96572,2.45711,5.03665,3.67338,5.69267,6.19637,6.24569,3.14536,5.9477,5.07046,6.25167,3.56899,7.38843,4.6442,7.66599,6.6082,6.52889,8.93292
23,1.90286,2.42734,3.47323,3.57677,3.28308,3.1079,5.19559,2.13991,4.38645,3.19917,4.95779,5.39646,5.43942,2.73931,5.1799,4.41591,5.44463,3.10826,6.43464,4.04467,6.67637,5.75513,5.68606,7.77974
24,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
25,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
26,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
27,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
28,1.83695,2.34327,3.35293,3.45288,3.16936,3.00025,5.01563,2.06579,4.23452,3.08836,4.78606,5.20954,5.25101,2.64443,5.00048,4.26295,5.25604,3.0006,6.21176,3.90457,6.44512,5.55579,5.48911,7.51028
29,2.1857,2.78815,3.9895,4.10843,3.77108,3.56986,5.96787,2.45799,5.03846,3.6747,5.69472,6.1986,6.24794,3.14649,5.94985,5.07229,6.25393,3.57028,7.3911,4.64588,7.66876,6.61058,6.53124,8.93614
30,2.23699,2.85358,4.08312,4.20484,3.85958,3.65363,6.10792,2.51567,5.1567,3.76093,5.82836,6.34406,6.39456,3.22033,6.08947,5.19132,6.40069,3.65406,7.56454,4.7549,7.84872,6.76571,6.68451,9.14584
31,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
32,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
33,2.15037,2.74308,3.925,4.04202,3.71012,3.51215,5.8714,2.41826,4.95701,3.6153,5.60267,6.0984,6.14694,3.09563,5.85367,4.9903,6.15283,3.51257,7.27162,4.57077,7.54479,6.50372,6.42566,8.79168
34,2.17827,2.77867,3.97594,4.09447,3.75827,3.55773,5.94759,2.44964,5.02134,3.66221,5.67537,6.17754,6.22671,3.1358,5.92963,5.05506,6.23268,3.55815,7.36598,4.63009,7.6427,6.58812,6.50905,8.90577
35,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
36,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
37,2.17899,2.77959,3.97725,4.09582,3.75951,3.5589,5.94956,2.45045,5.023,3.66342,5.67725,6.17958,6.22877,3.13684,5.93159,5.05673,6.23474,3.55932,7.36841,4.63162,7.64523,6.5903,6.5112,8.90872
38,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
39,2.17391,2.77311,3.96798,4.08627,3.75074,3.5506,5.93568,2.44474,5.01129,3.65488,5.66401,6.16517,6.21424,3.12952,5.91776,5.04493,6.2202,3.55102,7.35123,4.62082,7.62739,6.57493,6.49601,8.88794
40,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
41,2.05821,2.62551,3.75679,3.86879,3.55112,3.36163,5.61977,2.31462,4.74457,3.46035,5.36255,5.83704,5.8835,2.96296,5.60279,4.77643,5.88914,3.36203,6.95997,4.37488,7.22144,6.22499,6.15027,8.41489
42,2.16983,2.7679,3.96053,4.0786,3.7437,3.54394,5.92454,2.44014,5.00188,3.64802,5.65337,6.15359,6.20258,3.12364,5.90664,5.03546,6.20852,3.54436,7.33742,4.61214,7.61307,6.56258,6.48381,8.87125
43,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
44,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
45,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
46,2.03863,2.60054,3.72105,3.83199,3.51734,3.32965,5.56631,2.2926,4.69944,3.42744,5.31154,5.78151,5.82754,2.93477,5.5495,4.73099,5.83312,3.33005,6.89377,4.33327,7.15275,6.16578,6.09177,8.33485
47,2.08687,2.66208,3.80911,3.92266,3.60057,3.40844,5.69803,2.34685,4.81064,3.50854,5.43723,5.91833,5.96544,3.00422,5.68082,4.84294,5.97115,3.40885,7.0569,4.43581,7.32201,6.31168,6.23593,8.53208
48,2.21504,2.82557,4.04305,4.16358,3.8217,3.61778,6.04798,2.49099,5.10609,3.72403,5.77116,6.2818,6.33181,3.18873,6.02971,5.14038,6.33788,3.61821,7.49031,4.70824,7.7717,6.69932,6.61891,9.05609
49,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
50,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
51,2.17752,2.7777,3.97455,4.09304,3.75696,3.55649,5.94552,2.44879,5.01959,3.66094,5.67339,6.17539,6.22454,3.13471,5.92756,5.0533,6.23051,3.55691,7.36341,4.62847,7.64004,6.58582,6.50678,8.90267
52,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
53,2.22319,2.83596,4.05792,4.17889,3.83576,3.63108,6.07022,2.50015,5.12487,3.73772,5.79239,6.30491,6.3551,3.20045,6.05189,5.15928,6.36118,3.63151,7.51785,4.72555,7.80028,6.72395,6.64325,9.08939
54,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
55,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
56,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
57,2.02878,2.58797,3.70307,3.81346,3.50034,3.31356,5.5394,2.28152,4.67672,3.41087,5.28587,5.75357,5.79937,2.92058,5.52267,4.70812,5.80492,3.31395,6.86045,4.31232,7.11817,6.13597,6.06233,8.29456
58,1.98016,2.52595,3.61432,3.72207,3.41645,3.23415,5.40665,2.22684,4.56464,3.32913,5.15919,5.61568,5.66039,2.85059,5.39032,4.59529,5.66581,3.23453,6.69604,4.20897,6.94759,5.98892,5.91704,8.09578
59,2.15516,2.74919,3.93375,4.05103,3.7184,3.51998,5.88449,2.42365,4.96807,3.62336,5.61516,6.11199,6.16065,3.10253,5.86672,5.00142,6.16655,3.5204,7.28783,4.58096,7.56161,6.51822,6.43999,8.81128
60,1.88571,2.40547,3.44193,3.54454,3.2535,3.07989,5.14878,2.12063,4.34693,3.17034,4.91312,5.34784,5.39041,2.71463,5.13323,4.37612,5.39557,3.08026,6.37666,4.00822,6.61622,5.70327,5.63482,7.70965
61,2.24274,2.86091,4.09361,4.21565,3.8695,3.66302,6.12361,2.52214,5.16995,3.7706,5.84334,6.36036,6.41099,3.2286,6.10512,5.20466,6.41714,3.66345,7.58398,4.76712,7.86889,6.7831,6.70169,9.16934
62,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
63,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
64,2.13118,2.7186,3.88999,4.00596,3.67702,3.48082,5.81902,2.39669,4.91279,3.58304,5.55268,6.04399,6.09211,3.06801,5.80145,4.94578,6.09794,3.48123,7.20675,4.53,7.47748,6.4457,6.36834,8.71325
65,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
66,2.03318,2.59359,3.71111,3.82174,3.50794,3.32076,5.55143,2.28647,4.68688,3.41828,5.29735,5.76606,5.81196,2.92693,5.53467,4.71835,5.81753,3.32115,6.87535,4.32169,7.13363,6.1493,6.07549,8.31258
67,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
68,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
69,1.91145,2.43831,3.48892,3.59294,3.29792,3.12194,5.21907,2.14958,4.40627,3.21363,4.98019,5.42085,5.464,2.75169,5.20331,4.43586,5.46923,3.12231,6.46372,4.06294,6.70654,5.78113,5.71175,7.8149
70,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
71,2.242,2.85996,4.09226,4.21426,3.86822,3.66181,6.1216,2.52131,5.16825,3.76935,5.84141,6.35827,6.40888,3.22754,6.10311,5.20295,6.41502,3.66225,7.58148,4.76555,7.86629,6.78086,6.69948,9.16632
72,2.00747,2.5608,3.66418,3.77342,3.46358,3.27877,5.48124,2.25756,4.62762,3.37506,5.23037,5.69316,5.73848,2.88992,5.46469,4.65869,5.74397,3.27915,6.78841,4.26704,7.04344,6.07155,5.99867,8.20747
73,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
74,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
75,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
76,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
77,2.05683,2.62375,3.75427,3.86619,3.54873,3.35937,5.616,2.31306,4.74139,3.45803,5.35895,5.83312,5.87955,2.96097,5.59903,4.77322,5.88519,3.35977,6.9553,4.37195,7.2166,6.22081,6.14615,8.40925
78,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
79,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
80,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
81,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
82,2.20166,2.8085,4.01862,4.13843,3.79862,3.59592,6.01145,2.47594,5.07525,3.70153,5.7363,6.24386,6.29356,3.16946,5.99329,5.10933,6.29959,3.59635,7.44506,4.6798,7.72475,6.65885,6.57893,9.00139
83,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
84,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
85,2.22278,2.83545,4.05718,4.17813,3.83506,3.63042,6.06911,2.49969,5.12394,3.73704,5.79133,6.30376,6.35394,3.19987,6.05079,5.15834,6.36003,3.63085,7.51648,4.72469,7.79886,6.72273,6.64204,9.08774
86,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
87,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
88,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
89,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
90,2.23719,2.85382,4.08347,4.20521,3.85991,3.65395,6.10845,2.51589,5.15715,3.76126,5.82886,6.34461,6.39512,3.22061,6.09,5.19177,6.40124,3.65438,7.5652,4.75531,7.8494,6.7663,6.68509,9.14663
91,1.97987,2.52558,3.6138,3.72154,3.41596,3.23368,5.40587,2.22652,4.56399,3.32865,5.15845,5.61487,5.65957,2.85018,5.38955,4.59463,5.66499,3.23407,6.69507,4.20837,6.94659,5.98806,5.91619,8.09462
92,1.91858,2.4474,3.50193,3.60633,3.31021,3.13358,5.23853,2.1576,4.42271,3.22561,4.99876,5.44106,5.48438,2.76195,5.22271,4.4524,5.48963,3.13395,6.48782,4.0781,6.73155,5.80269,5.73305,7.84404
93,1.78142,2.27243,3.25157,3.3485,3.07355,2.90955,4.86401,2.00334,4.10651,2.995,4.64138,5.05206,5.09227,2.56449,4.84932,4.13408,5.09715,2.90989,6.02398,3.78654,6.25028,5.38784,5.32317,7.28324
94,2.15059,2.74336,3.92541,4.04244,3.71051,3.51252,5.87201,2.41851,4.95753,3.61567,5.60325,6.09903,6.14758,3.09595,5.85427,4.99081,6.15347,3.51293,7.27237,4.57125,7.54557,6.50439,6.42633,8.79259
95,2.16072,2.75628,3.9439,4.06148,3.72798,3.52906,5.89967,2.4299,4.98088,3.6327,5.62964,6.12776,6.17654,3.11053,5.88185,5.01432,6.18246,3.52948,7.30663,4.59278,7.58111,6.53503,6.4566,8.83401
